!GEAR.DAT - Gear data file - JW 960204 (Update from PM 960201)
!-------------------------------------------------------------
!A Few Notes:
!This file is an update of Paolo's Gear.Dat file, to include nearly all gear and
!other stuff I could find in various sourcebooks, both FASA-published and from
!the net. A small number of things are still omitted mainly because I just couldn't
!get myself to do absolutely _everything_ :) I added another category to the
!firearms, to show which accessories are included off-the-shelf with each weapon.
!Also, the cyberdecks and related equipment have *not* been updated to VR 2.0
!standards (yet).
!                                                                       -Gurth
! Types:
!-------
0-1|Edged weapon|7|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|
0-2|Bow and crossbow|7|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|
0-3|Firearms|9|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|
0-4|Rockets and Missiles|6|Intelligence|Damage|Weight|Availability|$Cost|Street Index|
0-5|Ammunition|6|Concealability|Damage|Weight|Availability|$Cost|Street Index|
0-6|Firearms Accessories|7|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-7|Explosives|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-8|Clothing and Armor|7|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|
0-9|S+S Vision Enhancers|6|Concealability|Magnification|Weight|Availability|$Cost|Street Index|
0-10|Surveillance and Security|5|Concealability|Weight|Availability|$Cost|Street Index|
0-11|Cyberdecks|9|Persona|Hardening|Memory|Storage|Load|I/O|Availability|$Cost|Street Index|
0-12|Cyberdeck Other|3|Availability|$Cost|Street Index|
0-13|Biotech|5|Rating|Availability|Weight|$Cost|Street Index|
0-14|Lifestyle|5|Concealability|Weight|Availability|$Cost|Street Index|
0-15|Magical Equipment|3|Availability|$Cost|Street Index|
0-16|Extras|1|$Cost|
0-17|Cars|9|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|
0-18|Vehiclegear|3|Availability|$Cost|Street Index|
0-19|VehicleFire|8|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|
0-20|Chips|6|Type|Rating|Memory|Availability|$Cost|Street Index|
0-21|Stuff With Ratings|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-22|Drugs|6|Addiction|Tolerance|Strength|Availability|$Cost|Street Index|
0-23|Vehicle modifications|3|$Cost|Equipment|CF|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Ares Monosword                 1|3|1|(STR+3)M|2|4/24hrs|1000|1|
4-* Bayonet                        1|8|0|(STR)L|.25|2/8hrs|35|.8|
4-* Bear-Knife                     1|3|0|(STR+2)M|1|6/48hrs|2000|1|
4-* Bowie Knife                    1|6|0|(STR+2)L|1|3/24hrs|50|.8|
4-* Broadsword                     1|4|1|(str+1)M|2|6/48hrs|1000|3|
4-* Cane Knife                     1|2|1|(STR+1)M|1|10/7days|600|2|
4-* Cane Sword                     1|2|1|(STR+1)M|1|10/7days|600|2|
4-* Centurion Laser Axe            1|2|1|(STR)S|5.2|6/48hrs|3500|.5|
4-* Combat Axe                     1|2|2|(STR)S|2|3/24hrs|750|2|
4-* Combat Axe Thrusting Point     1|-|-|(STR+2)L|0|NA|0|1|
4-* Decapitator battleaxe          1|-|2|(STR+4)S|11|6/48hrs|2000|3|
4-* Fineblade Knife (short)        1|8|-|(STR)M|.5|5/72hrs|800|3|
4-* Fineblade Knife (long)         1|5|-|(STR+1)M|.75|8/72hrs|1500|3|
4-* Gasher battleaxe               1|2|1|(STR)S|2|6/48hrs|1000|3|
4-* Gutter dagger                  1|8|0|(str)M|.5|6/48hrs|1000|1|
4-* Katana                         1|3|1|(STR+3)M|1|4/48hrs|1000|1|
4-* Kendachi M-33 Powersword       1|4|1|(STR+1)S|3|8/14days|1860|3|
4-* Kendachi Monokatana            1|3|1|(STR+4)M|1|8/5days|1200|2.5|
4-* Kendachi Monoknife             1|7|-|(STR+1)L|.5|6/60hrs|200|1|
4-* Kendachi Mononaginata          1|2|1|(STR+2)L|.5|6/60hrs|300|1|
4-* Kendachi Mono-Two (long/short) 1|3/5|1/0|(STR+3)M/(STR+1)M|1/.75|5/48hrs|1650|2.1|CB1 p.55
4-* Knife                          1|8|-|(STR)L|.5|2/4hrs|30|.75|
4-* Longsword                      1|4|1|(STR+2)M|2|6/48hrs|1000|1|
4-* Mystic Tech. Spring Knife      1|8|0|(STR+2)L|.75|4/12hrs|125|1.2|
4-* Rapier                         1|5|1|(STR+2)M|2|6/48hrs|1000|3|
4-* Scimitar                       1|4|1|(STR+2)M|1.5|6/48hrs|1,000|3|
4-* Shortsword                     1|5|1|(STR)M|2|6/48hrs|1000|3|
4-* Slamdance Inc. Spawnblade      1|8|0|(STR)L|.5|4/72hrs|100|1.1|
4-* Stiletto                       1|10|0|(STR)L|.3|6/48hrs|1000|1|
4-* Stiletto                       1|14|0|(STR-1)L|.1|2/24hrs|10|.5|
4-* Survival Knife                 1|6|-|(STR+2)L|.75|3/6hrs|450|1|
4-* Sword                          1|4|1|(STR+2)M|1|3/24hrs|500|1|
4-* Two-Handed Sword               1|2|1|(STR+3)S|5|6/48hrs|3000|3|
3-Clubs
4-* AZ-150 Stun Baton              1|5|1|8S Stun|1|3/36hrs|1500|2|
4-* Club                           1|5|1|(STR+1)M Stun|1|2/6hrs|10|1|
4-* Devil's Star mace              1|-|2|(str)S|10|6/48hrs|1500|3|
4-* Mace                           1|2|1|(STR)M|5|6/48hrs|700|3|
4-* Mace                           1|4|1|(STR+1)M Stun|1|2/6hrs|40|1|
4-* Mjolnir warhammer              1|-|2|(STR+4)D|15|6/48hrs|2000|3|
4-* Morning Star                   1|2|1|(STR+1)M|7|6/48hrs|1000|3|
4-* Sap                            1|8|-|(STR+1)M Stun|0|2/6hrs|10|1|
4-* Skull Crusher warhammer        1|2|1|(STR)S|5|6/48hrs|1000|3|
4-* Stun Baton                     1|4|1|6S Stun|1|3/36hrs|750|1|
3-Pole arms/Staffs
4-* Halberd                        1|2|2|(STR)S|6|6/48hrs|1000|3|
4-* Lance                          1|-|2|(kph/5)M|2|4/12hrs|60|1|
4-* Long Spear                     1|2|2|(STR)S|4|6/48hrs|1000|3|
4-* Mersch MX-23 Stunlance         1|2|2|(STR+2)L/9S Stun|3|5/48hrs|2500|1|
4-* Pole Arm                       1|2|2|(STR)S|4|4/48hrs|500|2|
4-* Scythe                         1|-|2|(STR+1)S|7|6/48hrs|1000|3|
4-* Staff                          1|2|2|(STR+2)M Stun|2|3/24hrs|50|1|
4-* Tetsubo                        1|-|2|(STR+3)S|3|5/24hrs|500|1|
3-Whips/Flails
4-* Bullwhip                       1|8|2|(STR)L|1|6/48hrs|100|1|
4-* Cat With Nine Tails            1|5|2|(STR+2)M|3|6/48hrs|1000|3|
4-* Flail                          1|3|2|(STR+1)M Stun|.75|4/12hrs|50|1|
4-* Flogger whip                   1|6|2|(STR)M|1|6/48hrs|500|3|
4-* Kendachi Monowhip              1|9|3|10S|-|26/14 days|3500|3|
4-* Monofilament Whip              1|10|1|10S|0|24/14days|3000|3|
4-* Whip                           1|6|2|(skill/2)L|.5|5/24hrs|200|1|
3-Other
4-* Bio-Injector                   1|8|0|5L|-|14/7 days|15000|3|
4-* Bio-Injector                   1|8|0|5L + drug|.5|10/96hrs|15000|1|
4-* Brass Knuckles                 1|16/4|0|(STR+1)M Stun|.2|2/24hrs|20|.75|
