species,url,description,flowering
eucalyptus_abdita,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_abdita.htm,"Mallee to 3 m tall. Forming a lignotuber.Bark smooth throughout, grey.Branchlets with sparsely glandular pith. Juvenile growth (coppice or field seedlings to 50 cm): stems square to rounded in cross-section; juvenile leaves always petiolate, opposite for 3 or 4 nodes then alternate, ovate to deltoid, 8.2–11.6 cm long, 4–6 cm wide, base truncate, rounded or tapering to petiole, margin entire or slightly irregular, green to bluish green. Adult leaves alternate, petioles 1–2 cm long; blade lanceolate, 5.5–8(10) cm long, 1.1–1.8 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, newer leaves dull, blue-green, older leaves green and slightly glossy, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein remote from margin, oil glands mostly intersectional. Inflorescence axillary unbranched, peduncles widening apically 0.8–1.5 cm long, buds to ?13 per umbel, pedicellate (pedicels 0.2–0.4 cm long). Mature buds fusiform and often curved (1.1–2.1 cm long, 0.25–0.4 cm wide), scar present, operculum conical, to about twice the length of the hypanthium and equal to it at the join, very few outer stamens completely erect, most stamens are deflexed to varying degrees, anthers oblong, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma rounded, locules 3, the placentae each with 4 vertical rows of ovules. Flowers white. Fruit pedicellate (pedicels 0.3 cm long), cylindrical to barrel-shaped, 0.6 cm long, 0.4–0.5 cm wide, disc descending vertically, valves 3, near rim level. Seeds straw-coloured, 0.8–1.5 mm long, sub-spherical, surface smooth, hilum ventral/terminal.Cultivated seedlings (measured at ca node 10): cotyledons bisected (Y-shaped); stems rounded to square in cross-section; leaves always petiolate, opposite for 2 or 3 nodes then alternate, ovate to narrowly deltoid, 5–7 cm long, 2.5–4 cm wide, base truncate, lamina green, becoming glossy by ca node 7.
",Flowering has been recorded in February.
eucalyptus_absita,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_absita.htm,"Mallee to 10 m tall. Forming a lignotuber.Bark rough over part or all of trunks, box-type to fibrous, rarely smooth throughout, grey, yellow-grey and grey-brown, smooth above, grey over green-brown. Branchlets lacking oil glands in the pith.Juvenile growth (coppice or wild seedling to 50 cm tall): stems rounded in cross-section, non-glaucous; juvenile leaves always petiolate, opposite for ca 2 nodes then alternate, deltoid to ovate or elliptical, 4.5–8.5 cm long, 2–6.5 cm wide, dull blue to bluish green (but not glaucous), becoming lanceolate, green and glossy by 1.5 m tall. Adult leaves alternate, petiole 1–2.2 cm long; blade lanceolate, often broadly so, 7–11 cm long, 1.5–4 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins greater than 45° to midrib, reticulation dense to very dense, intramarginal vein close to margin, oil glands obscure (?absent). Inflorescence terminal compound, peduncles 0.4–1 cm long, buds 7 per umbel, pedicels 0.2–0.5 cm long. Mature buds obovoid to pyriform, 0.4–0.6 cm long, 0.3–0.4 cm wide, scar present (outer operculum lost early), operculum rounded, stamens inflexed, outer filaments without anthers or anthers small and poorly formed (staminodes), inner stamens fertile, filaments shorter, anthers with more or less cuboid to globose, scarcely versatile, sub-dorsifixed, dehiscing by short subterminal slits or pores, style long and straight, stigma blunt to pinhead-shaped, locules 4, the placentae each with 4 vertical rows of ovules. Flowers cream. Fruit on pedicels 0.2–0.4 cm long, obconical to cupular, 0.4–0.5 cm long, 0.4–0.6 cm wide, rim thin, disc descending more or less obliquely, valves 4, enclosed. Seeds dark brown, 0.8–2 mm long, flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons reniform; stems more or less square in cross-section; leaves always petiolate, opposite for 4 or 5 nodes then alternate, deltoid to ovate, 4–6.5 cm long, 2.5–5.5 cm wide, dull, greyish green.
",Flowering has been recorded in June and November.
eucalyptus_acaciiformis,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_acaciiformis.htm,"Tree to 20 m tall. Forming a lignotuber.Bark rough to small branches, stringy or fibrous, grey to grey-brown.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, warty or smooth; juvenile leaves opposite at first but soon alternate, sessile, elliptical, 2–4.5 cm long, 0.5–1.5 cm wide, margin entire or crenulate, blue-green or grey-green.Adult leaves alternate, petiole 0.5–1.7 cm long; blade lanceolate to falcate, 5–13 cm long, 1–2.2 cm wide, base tapering to petiole, margin entire, concolorous, usually dull, green or grey-green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin, oil glands island and intersectional.Inflorescence axillary unbranched, peduncles 0.2–0.6 cm long, buds usually 7 per umbel (rarely up to 11), pedicels 0.1–0.3 cm long. Mature buds ovoid to fusiform, 0.3–0.4 cm long, 0.2–0.3 cm wide, green, scar present, operculum conical to beaked, stamens inflexed or irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit on pedicels to 0.3 cm long, rarely sessile, cup-shaped, hemispherical or campanulate, 0.3–0.4 cm long, 0.3–0.6 cm wide, disc raised, valves 3 or 4, near rim level.Seeds brown, 1.2–2 mm long, ovoid or flattened-ovoid, often lacunose, dorsal surface pitted, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems rounded in cross-section, warty; leaves sessile, opposite for ca 5 nodes then sub-opposite to alternate, elliptical, 2.5–3.5 cm long, 0.7–1.4 cm wide, base tapering, margin entire or subcrenulate, green to grey-green.",Flowering has been recorded in January and December.
eucalyptus_accedens,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_accedens.htm,"Trees to 25 m tall. Forming a lignotuber.Bark smooth throughout, powdery, white over pale orange to creamy pink.Branchlets with glandular pith. Juvenile growth (coppice or field seedlings to 50 cm):stems square in cross-section, often glaucous; juvenile leaves always petiolate, alternate, deltoid, 4–17 cm long, 3–11 cm wide, base truncate or sometimes lobed, margin entire or subcrenulate, apex rounded to broadly pointed, glaucous at first maturing blue-green. Adult leaves alternate, petiole 1.3–3.2 cm long; blade usually lanceolate, 8–18 cm long, 1.2–3 cm wide, base tapering to petiole or rounded, margin entire, apex pointed, concolorous, dull, blue-green (non-glaucous), side-veins greater than 45° to midrib, densely to very densely reticulate, intramarginal vein remote from margin, oil glands intersectional. Inflorescences axillary, single, peduncle 0.7–1.7 cm long, buds 7, 9 or 11 per umbel, pedicellate (pedicels 0.1–0.7 cm long). Mature buds cylindrical to obovoid or ovoid (0.8–1.4 cm long, 0.5–0.7 cm wide), scar present, operculum bluntly conical to rounded, rarely apiculate, stamens inflexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style straight, long, stigma blunt, locules (3)4, the placentae each with 4 vertical ovule rows. Flowers cream to yellowy cream. Fruit pedicellate (pedicels 0.1–0.7 cm long), usually cylindrical to barrel-shaped, 0.6–1.1 cm long, (0.5)0.6–0.9 cm wide, disc descending vertically, valves (3)4, rim level or slightly exserted. Seed brown, 1.5–2.5 mm long, ovoid or flattened-ovoid, scarcely reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems square in cross-section, glaucous; leaves always petiolate, opposite for 3 to 5 nodes then alternate, cordate to deltoid or broadly ovate, 3–6.5 cm long, 3–6.5 cm wide, sometimes longer than wide, glaucous.",Flowering has been recorded in January and February.
eucalyptus_acies,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_acies.htm,"Mallee to 3 m tall, or shrub. Forming a lignotuber.Bark smooth, mottled shades of pale grey, pink-grey and brown-grey.Branchlets conspicuously quadrangular and yellow; lacking oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): stems square in cross-section; juvenile leaves sessile to shortly petiolate, opposite, elliptical to broadly lanceolate, 7–12 cm long, 3–5 cm wide, thick, green.Adult leaves thick, coarse, opposite to sub-opposite, petioles 1.3–3.3 cm long; blade lanceolate, 8–13.5 cm long, 2–4 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, dull bluish green at first but maturing glossy, green, side-veins greater than 45° to midrib, reticulation moderate to dense, intramarginal vein remote from margin, oil glands irregular, island or obscure. Inflorescence axillary unbranched, peduncles flattened, widest apically, down-curved, 1.5–3.2 cm long, buds 7 per umbel, pedicels (0.2)0.6–0.9 cm long. Mature buds obovoid to globular, 0.6–0.9 cm long, 0.7–0.9 cm wide, the hypanthium with ca 10–12 shallow longitudinal ribs, scar absent, the single operculum shallowly conical to rounded and umbonate, stamens mostly inflexed, a few irregulary disposed, anthers oblong to reniform, versatile, dorsifixed, dehiscing by longitudinal slits that are not confluent apically, style long and straight, stigma tapered, locules 3, the placentae each with 2 vertical rows of ovules. Flowers cream or pale yellow. Fruit pedicellate (pedicels 0.2–0.9 cm long), rigidly down-turned, campanulate to cupular, 0.9–1.2 cm long, 1.3–1.5 cm wide, ribbed especially in upper third, disc level or slightly raised-convex, valves 3, near rim level. Seeds black, 2–5 mm long, truncate-pyramidal to obliquely elongated or almost cuboid, dorsal surface often lacunose but otherwise smooth, ventrally ridged, hilum terminal.Cultivated seedlings (measured at ca node 10): cotyledons reniform, large; seedlings very branched; stems rounded in cross-section; leaves sessile, opposite and amplexicaul for at least 14 nodes, oblong-elliptic, 3.5–8 cm long, 2.5–5 cm wide, dull, green, apex rounded and apiculate.
","Flowering has been recorded in January, September, October and November."
eucalyptus_acmenoides,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_acmenoides.htm,"
Medium-sized or tall tree to 45 m. Forming a lignotuber.Bark rough to small branches, fibrous, grey or grey-brown, held in flattish strips rather than typical stringybark.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, smooth; juvenile leaves opposite and sessile for many pairs before becoming alternate and shortly petiolate, usually lanceolate, rarely ovate, 5–12.5 cm long, 1.3–5.7 cm wide, base usually rounded, rarely stem-clasping, discolorous, glossy, green. Leaves become alternate at about knee-high.Adult leaves alternate, petiole 0.7–2.1 cm long; blade lanceolate, (6.2)7–15.7 cm long, 0.9–4(5) cm wide, base oblique or tapering to petiole, margin entire, discolorous, weakly glossy to quite glossy, green, side-veins about or greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin or well removed from it, oil glands island and intersectional.Inflorescence terminal, or axillary unbranched, peduncles 0.7–1.9 cm long, buds 11 to 15 per umbel, rarely more, pedicels 0.3–0.7 cm long. Mature buds ovoid to fusiform, 0.5–0.7 cm long, 0.3–0.5 cm wide, green to yellow, scar absent, operculum conical or sometimes beaked, stamens irregularly flexed or inflexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style long, locules 3–5 each with two vertical ovule rows. Flowers white.Fruit pedicellate (pedicels 0.1–0.8 cm long), truncate-globose to hemispherical or cup-shaped or sometimes urn-shaped, 0.5–0.8 cm long, 0.4–0.9 cm wide, disc below rim level, usually descending and concealed but sometimes visible and oblique, valves 3–5, rim level or below.Seeds brown, 1–2.5 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth, hilum terminal.Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section; leaves sessile and opposite for at least 10 nodes, lanceolate, (5.5)7–12 cm long, (1.5)2–5 cm wide, base amplexicaul, margin entire, discolorous, glossy, green.
","Flowering has been recorded in April, July, August, September, October, November and December."
eucalyptus_acroleuca,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_acroleuca.htm,"
Tree to 15 m tall, sometimes taller to 25 m. Forming a lignotuber.Bark rough on part or all of trunk, box-type or sometimes tessellated, grey or blackish, large branches and sometimes upper trunk smooth-barked, white to grey.Branchlets lack oil glands in the pith; non-glaucous.Juvenile growth (coppice or field seedlings to 50 cm): stems usually square in cross-section; juvenile leaves always petiolate, opposite for a few pairs then alternate, linear-lanceolate, 6–13 cm long, 0.7–1.1 cm wide, base tapering to petiole, dull, blue-green to blue-grey or ?slightly glaucous.Adult leaves alternate, petiole 0.4–1(1.5) cm long; blade narrowly lanceolate, 7–14(17) cm long, 0.6–1.2(1.5) cm wide, base tapering to petiole, concolorous, dull to slightly glossy, green, side-veins acute or at an angle greater than 45° to midrib, densely reticulate, intramarginal vein parallel to and just within margin, oil glands intersectional.Inflorescence mostly terminal compound, sometimes axillary panicles, peduncles 0.2–0.5(0.8) cm long, 7 buds per umbel, rarely 3, pedicels 0.1–0.3 cm long. Mature buds obovoid, 0.2–0.3 cm long, 0.1–0.2 cm wide, scar present (outer operculum lost early), operculum usually rounded, stamens irregularly flexed, anthers adnate, globular, dehiscing by lateral pores, style short, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit on pedicels 0.1–0.3 cm long, cup-shaped, 0.2–0.3 cm long, 0.2–0.3 cm wide, thin-walled, disc descending, valves 3 or 4, enclosed or near the rim.Seeds dark brown, 0.8–1.2 mm long, ovoid to flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons small, reniform; stems square in cross-section, sometimes slightly warty; leaves always petiolate, opposite for 5 to 7 nodes then alternate, linear to narrowly lanceolate, 10–15.5 cm long, 0.5–1.1 cm wide, dull, green to grey-green, discolorous.
",Flowering has been recorded in November and December.
eucalyptus_adesmophloia,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_adesmophloia.htm,"Mallee to 5 m tall. Forming a lignotuber.Bark partly rough with loose, papery or brittle ribbons of imperfectly shed pale grey-brown bark on at least base of or over most of trunk, smooth bark whitish to pink, pale orange or grey.Branchlets lacking oil glands in the pith. Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves shortly petiolate, opposite for very few nodes on coppice, soon alternate, orbicular to broadly elliptical, 2–6.5 cm long, 2–5 cm wide, base tapering, margin entire or subcrenulate, apex emarginate or rounded and apiculate, dull, slightly blue-green.Adult leaves alternate, petioles 0.4–2.2 cm long; blade lanceolate, 5.5–12.5 cm long, 1–2.5(3.2) cm wide, base tapering to petiole, margin entire or sometimes subcrenulate, apex acute, glossy, green, side-veins greater than 45° to midrib, reticulation dense to very dense, intramarginal vein remote from margin, oil glands numerous, irregular and intersectional.Inflorescence axillary unbranched, peduncles 0.3–1.2 cm long, buds ?11 to 21 per umbel, sessile or shortly pedicellate (pedicels 0–0.3 cm long). Mature buds squatly ovoid to fusiform (0.7–1.2 cm long, 0.35–0.5 cm wide), scar present (outer operculum shed early), operculum conical to beaked, stamens inflexed, anthers reniform, versatile, dorsifixed, dehiscing by longitudinal slits that remain separate, style long and straight, stigma more or less rounded, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers creamy white.Fruit sessile or shortly pedicellate (pedicels 0–0.2 cm long), broadly obconical to flattened-hemispherical, 0.4–0.6 cm long, 0.5–0.9 cm wide, disc more or less level, valves 3 or 4, exserted but tips fragile.Seeds dark greyish brown, 1–2 mm long, ovoid or flattened-ovoid, dorsal surface smooth, hilum ventral.Cultivated seedlings (measured at ca node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, smooth or slightly warty; leaves opposite to sub-opposite, becoming alternate variably from ca node 6 to 16, sessile (for at least 20 nodes on some) or shortly petiolate for many nodes, orbicular and often wider than long, 1.5–3 cm long, 1.5–4 cm wide, base truncate, rounded, amplexicaul or tapering, margin entire or subcrenulate, apex emarginate to rounded, grey-green to green, dull.","Flowering has been recorded in August, September, November and January."
eucalyptus_aequioperta,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_aequioperta.htm,"Tree or mallee to 10 m tall. Forming a lignotuber.Bark rough, dark grey, fairly firm and scaly or flaky to fibrous for about half of to all of trunk and large limbs to ca 15 cm diameter, becoming slightly tessellated on older trees, smooth above, dull pinkish grey to whitish.Branchlets with small oil glands in the pith. Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, slightly glaucous; juvenile leaves always petiolate, opposite at lowest nodes but soon alternate, ovate to elliptic to lanceolate, 2–9 cm long, 0.8–2.5 cm wide, bluish to glaucous, becoming glossy, green as a sapling. Adult leaves alternate, petioles 0.8–1.7 cm long; blade linear to narrowly lanceolate or falcate, 6–11 cm long, 0.6–1.2 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein close to margin, oil glands mostly intersectional. Inflorescence axillary unbranched, peduncles 0.5–1.5 cm long, buds 9 to 15 per umbel, pedicellate, pedicels 0.2–0.5 cm long. Mature buds ovoid with operculum equal to or narrower than hypanthium at the join (0.5–0.7 cm long, 0.25–0.35 cm wide), scar present, operculum bluntly to acutely conical (0.15–0.3 cm long), stamens inflexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style stout, long and straight, stigma blunt to slightly rounded, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers white. Fruit pedicellate (pedicels 0.2–0.5 cm long), shortly barrel-shaped to obconical tending to truncate-globose, 0.4–0.5 cm long, 0.4–0.6 cm wide, disc descending vertically, valves 3(4), near rim level. Seeds mid-brown, 0.8–1.5 mm long, flattened ovoid, dorsal surface shallowly and clearly reticulate, hilum ventral.Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section; leaves always petiolate, opposite for 3 to 8 nodes then alternate, ovate to lanceolate, 4.5–10 cm long, 1.3–3.5 cm wide, dull, concolorous, green.
",Flowering has been recorded in May.
eucalyptus_agglomerata,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_agglomerata.htm,"Tree to 40 m tall. Forming a lignotuber.Bark rough to small branches, stringy or fibrous, dark grey or grey-brown.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, scabrid at first, becoming smooth; juvenile leaves petiolate, opposite, conspicuously undulate and discolorous for 3 to 6 pairs, initially scabrid-hairy above and below but soon smooth above and scabrid only on margins and midrib, becoming glabrous, alternate, ovate, 3.5–10 cm long, 2–5.5 cm wide, margin entire, glossy, green. Crown usually blue-green.Adult leaves alternate, petiole 0.6–1.8 cm long; blade lanceolate to falcate, 7–14 cm long, 1.4–3 cm wide, base oblique or tapering evenly to petiole, margin entire, concolorous or slightly discolorous, glossy, green to blue-green, side-veins acute, sparsely to moderately reticulate, intramarginal vein parallel to and just within margin or well removed from it, oil glands island.Inflorescence axillary unbranched, peduncles 0.4–1.5 cm long, buds in umbels of 11 to 15(21), sessile or with pedicels to 0.3 cm long. Mature buds fusiform to diamond-shaped, 0.6–0.8 cm long, 0.3–0.4 cm wide, green to yellow, smooth or scurfy, scar absent, operculum conical, stamens irregularly flexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style long, locules 3 or 4, the placentae each with 2 vertical ovule rows. Flowers white or cream.Fruit sessile, compressed-hemispherical with sides deformed by crowding, 0.3–0.5 cm long, 0.5–1 cm wide (and usually broader than long), disc raised or level, valves 3 or 4, near rim level or enclosed.Seeds black or brown, 1.5–2.5 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth or shallowly pitted, hilum terminal.Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section, densely stellate-hairy; leaves always petiolate, opposite for 3 to 6 nodes then alternate, ovate, 6–11 cm long, 3.5–7 cm wide, base rounded or tapering, margin irregular and conspicuously undulate, slightly discolorous, green glossy, scabrid to hairy.","Flowering has been recorded in January, May, October and November."
